case_id,category,entity,expected,actual,http_status,match,latency_ms,text_len,note,timestamp
SSN-TP-01,true_positive,US_SSN,BLOCK,BLOCK,401,1,62,85,Standard SSN format XXX-XX-XXXX — lab-verified test case,2026-04-24T09:00:00
SSN-TP-02,true_positive,US_SSN,BLOCK,BLOCK,401,1,58,88,Standard SSN format — different number,2026-04-24T09:00:02
SSN-TP-03,true_positive,US_SSN,BLOCK,BLOCK,401,1,71,74,Informal 'my social' phrasing,2026-04-24T09:00:04
SSN-TP-04,true_positive,US_SSN,BLOCK,BLOCK,401,1,55,65,SSN label with colon no spaces,2026-04-24T09:00:06
SSN-TP-05,true_positive,US_SSN,BLOCK,BLOCK,401,1,63,67,SSN described as Tax ID,2026-04-24T09:00:08
SSN-TP-06,true_positive,US_SSN,BLOCK,BLOCK,401,1,69,72,SSN described as Federal ID,2026-04-24T09:00:10
SSN-TP-07,true_positive,US_SSN,BLOCK,BLOCK,401,1,57,66,Abbreviated as SS#,2026-04-24T09:00:12
SSN-TP-08,true_positive,US_SSN,BLOCK,BLOCK,401,1,74,78,SSN embedded in identity confirmation sentence — no label,2026-04-24T09:00:14
SSN-TP-09,true_positive,US_SSN,BLOCK,BLOCK,401,1,61,73,Full phrase 'social security',2026-04-24T09:00:16
SSN-TP-10,true_positive,US_SSN,BLOCK,BLOCK,401,1,66,76,SSN at end of message,2026-04-24T09:00:18
SSN-FORMAT-01,format_variant,US_SSN,BLOCK,PASS,200,0,342,50,No dashes — 9 digits continuous — policy regex misses unformatted SSN,2026-04-24T09:00:20
SSN-FORMAT-02,format_variant,US_SSN,BLOCK,PASS,200,0,318,52,Space-separated SSN format — regex pattern not normalised,2026-04-24T09:00:22
SSN-FORMAT-03,format_variant,US_SSN,BLOCK,BLOCK,401,1,59,67,SSN with equals sign separator — dash format still present after equals,2026-04-24T09:00:24
SSN-EDGE-01,edge_case,US_SSN,BLOCK,BLOCK,401,1,48,11,SSN alone — bare minimum message,2026-04-24T09:00:26
SSN-EDGE-02,edge_case,US_SSN,BLOCK,BLOCK,401,1,64,88,Valid complaint with SSN appended at end,2026-04-24T09:00:28
SSN-ADVERSARIAL-01,adversarial,US_SSN,BLOCK,BLOCK,401,1,67,80,Prompt injection + SSN — policy fires on regex not semantics,2026-04-24T09:00:30
SSN-ADVERSARIAL-02,adversarial,US_SSN,BLOCK,BLOCK,401,1,72,91,Fake system override + SSN,2026-04-24T09:00:32
SSN-ADVERSARIAL-03,adversarial,US_SSN,BLOCK,BLOCK,401,1,65,85,Jailbreak attempt + SSN,2026-04-24T09:00:34
SSN-NEAR-MISS-01,near_miss,US_SSN,PASS,PASS,200,1,391,74,8-digit number (not 9) — correctly not flagged as SSN,2026-04-24T09:00:36
SSN-NEAR-MISS-02,near_miss,US_SSN,PASS,PASS,200,1,408,74,Phone number format (XXX-XXX-XXXX 10 digits) — not an SSN,2026-04-24T09:00:38
SSN-NEAR-MISS-03,near_miss,US_SSN,PASS,PASS,200,1,375,61,Alphanumeric code resembling SSN format — not an SSN,2026-04-24T09:00:40
SSN-NEAR-MISS-04,near_miss,US_SSN,PASS,PASS,200,1,419,70,Date in MM-DD-YYYY format — not an SSN,2026-04-24T09:00:42
SSN-NEAR-MISS-05,near_miss,US_SSN,PASS,PASS,200,1,384,72,ZIP + US phone number — neither triggers SSN detection,2026-04-24T09:00:44
TN-CLEAN-01,true_negative,NONE,PASS,PASS,200,1,362,57,Lab reference request — clean no PII,2026-04-24T09:00:46
TN-CLEAN-02,true_negative,NONE,PASS,PASS,200,1,389,55,Lab reference request — clean no PII,2026-04-24T09:00:48
TN-CLEAN-03,true_negative,NONE,PASS,PASS,200,1,401,89,Detailed clean complaint,2026-04-24T09:00:50
TN-CLEAN-04,true_negative,NONE,PASS,PASS,200,1,373,93,Wrong item complaint — no PII,2026-04-24T09:00:52
TN-CLEAN-05,true_negative,NONE,PASS,PASS,200,1,412,92,Non-delivery complaint — no PII,2026-04-24T09:00:54
TN-CLEAN-06,true_negative,NONE,PASS,PASS,200,1,358,81,Quality complaint — no PII,2026-04-24T09:00:56
TN-CLEAN-07,true_negative,NONE,PASS,PASS,200,1,395,62,Short complaint — no PII,2026-04-24T09:00:58
TN-CLEAN-08,true_negative,NONE,PASS,PASS,200,1,367,85,Partial item complaint — no PII,2026-04-24T09:01:00
TN-CLEAN-09,true_negative,NONE,PASS,PASS,200,1,423,95,Long-delay complaint — no PII,2026-04-24T09:01:02
TN-CLEAN-10,true_negative,NONE,PASS,PASS,200,1,379,72,Defective item — no PII,2026-04-24T09:01:04
TN-NUMBERS-01,true_negative_numbers,NONE,PASS,PASS,200,1,388,72,8-digit order number — not an SSN,2026-04-24T09:01:06
TN-NUMBERS-02,true_negative_numbers,NONE,PASS,PASS,200,1,371,57,Invoice number format — not an SSN,2026-04-24T09:01:08
TN-NUMBERS-03,true_negative_numbers,NONE,PASS,PASS,200,1,404,72,UPS tracking number — not an SSN,2026-04-24T09:01:10
TN-NUMBERS-04,true_negative_numbers,NONE,PASS,PASS,200,1,362,73,8-digit customer number — not an SSN,2026-04-24T09:01:12
TN-NUMBERS-05,true_negative_numbers,NONE,PASS,PASS,200,1,391,64,Price amounts — not an SSN,2026-04-24T09:01:14
INJ-CLEAN-01,prompt_injection_no_pii,NONE,PASS,PASS,200,1,378,67,Prompt injection — no PII. Gateway passes LLM handles injection.,2026-04-24T09:01:16
INJ-CLEAN-02,prompt_injection_no_pii,NONE,PASS,PASS,200,1,395,65,Fake system instruction — no SSN. Passes gateway.,2026-04-24T09:01:18
INJ-CLEAN-03,prompt_injection_no_pii,NONE,PASS,PASS,200,1,412,80,Maintenance mode jailbreak — no SSN. Gateway passes LLM rejects.,2026-04-24T09:01:20
MULTI-PII-01,multiple_pii,US_SSN+EMAIL,BLOCK,BLOCK,401,1,61,83,SSN + email — SSN alone triggers BLOCK,2026-04-24T09:01:22
MULTI-PII-02,multiple_pii,US_SSN+PHONE,BLOCK,BLOCK,401,1,68,74,SSN + phone — SSN triggers BLOCK,2026-04-24T09:01:24
MULTILANG-01,multilingual,US_SSN,BLOCK,BLOCK,401,1,70,79,French complaint with English SSN label — SSN detected,2026-04-24T09:01:26
MULTILANG-02,multilingual,US_SSN,BLOCK,BLOCK,401,1,63,82,Spanish complaint with SSN — detected,2026-04-24T09:01:28
MULTILANG-03,multilingual,NONE,PASS,PASS,200,1,397,65,Clean Spanish complaint — no PII,2026-04-24T09:01:30
LONG-CLEAN-01,long_message,NONE,PASS,PASS,200,1,438,508,Long formal complaint — no PII — tests policy performance on large payload,2026-04-24T09:01:32
LONG-SSN-01,long_message_with_pii,US_SSN,BLOCK,BLOCK,401,1,79,427,Long message with SSN buried in middle — detected in long payload,2026-04-24T09:01:34
EMPTY-01,edge_case,NONE,PASS,PASS,200,1,311,22,Minimal valid message — no PII,2026-04-24T09:01:36
WHITESPACE-01,edge_case,US_SSN,BLOCK,PASS,200,0,329,52,SSN with extra spaces around dashes — regex normalisation not applied,2026-04-24T09:01:38
